timestamp,target,reading,signal,error
0,1632,1620,0,12
1,1632,1620,0,12
2,1632,1620,0,12
3,1632,1620,0,12
4,1648,1620,1,28
5,1632,1620,0,12
6,1632,1620,0,12
7,1616,1620,0,-4
8,1632,1620,0,12
9,1632,1620,0,12
10,1632,1620,0,12
11,1632,1620,0,12
12,1632,1620,0,12
13,1632,1620,0,12
14,1632,1620,0,12
15,1632,1620,0,12
16,1632,1620,0,12
17,1632,1620,0,12
18,1648,1620,1,28
19,1648,1620,1,28
20,1632,1620,0,12
21,1632,1620,0,12
22,1616,1620,0,-4
23,1632,1620,0,12
24,1632,1620,0,12
25,1632,1620,0,12
26,1632,1620,0,12
27,1632,1620,0,12
28,1632,1620,0,12
29,1648,1620,1,28
30,1632,1620,0,12
31,1648,1620,1,28
32,1632,1620,0,12
33,1616,1620,0,-4
34,1632,1620,0,12
35,1632,1620,0,12
36,1632,1620,0,12
37,1632,1620,0,12
38,1632,1620,0,12
39,1632,1620,0,12
40,1632,1620,0,12
41,1632,1620,0,12
42,1632,1620,0,12
43,1632,1620,0,12
44,1648,1613,2,35
45,1648,1602,2,46
46,1632,1577,3,55
47,1632,1547,6,85
48,1632,1516,9,116
49,1616,1470,11,146
50,1648,1399,19,249
51,1648,1326,26,322
52,1648,1240,32,408
53,1616,1148,37,468
54,1632,1040,48,592
55,1632,932,55,700
56,1648,840,65,808
57,1632,1013,49,619
58,1616,672,76,944
59,1632,581,84,1051
60,1616,765,68,851
61,1648,439,97,1209
62,1648,373,102,1275
63,1616,309,105,1307
64,1616,269,109,1347
65,1632,240,113,1392
66,1648,216,115,1432
67,1632,195,115,1437
68,1616,181,115,1435
69,1616,179,115,1437
70,1632,180,116,1452
71,1616,183,115,1433
72,1616,298,106,1318
73,1648,675,78,973
74,1616,1112,40,504
75,1648,1321,26,327
76,1632,1990,-28,-358
77,1616,2078,-36,-462
78,1616,2459,-67,-843
79,1648,2414,-61,-766
80,1648,2268,-49,-620
81,1648,2053,-32,-405
82,1632,1831,-15,-199
83,1632,1649,-1,-17
84,1632,1545,6,87
85,1648,1280,29,368
86,1648,1562,6,86
87,1632,1590,2,42
88,1616,1590,1,26
89,1648,1588,3,60
90,1616,1588,1,28
91,1632,1588,2,44
92,1648,1588,3,60
93,1632,1588,2,44
94,1648,1588,3,60
95,1632,1588,2,44
96,1632,1588,2,44
97,1648,1588,3,60
98,1616,1588,1,28
99,1648,1588,3,60
100,1616,1588,1,28
101,1648,1588,3,60
102,1632,1588,2,44
103,1632,1588,2,44
104,1648,1588,3,60
105,1648,1588,3,60
106,1648,1588,3,60
107,1632,1588,2,44
108,1648,1588,3,60
109,1632,1588,2,44
110,1648,1588,3,60
111,1616,1588,1,28
112,1616,1588,1,28
113,1648,1588,3,60
114,1648,1588,3,60
115,1632,1588,2,44
116,1632,1588,2,44
117,1648,1588,3,60
118,1632,1588,2,44
119,1648,1588,3,60
120,1632,1588,2,44
121,1616,1588,1,28
122,1648,1588,3,60
123,1648,1588,3,60
124,1648,1588,3,60
125,1616,1588,1,28
126,1632,1588,2,44
127,1616,1588,1,28
128,1648,1588,3,60
129,1632,1588,2,44
130,1632,1588,2,44
131,1648,1588,3,60
132,1648,1588,3,60
133,1648,1588,3,60
134,1616,1588,1,28
135,1648,1588,3,60
136,1616,1588,1,28
137,1632,1588,2,44
138,1632,1588,2,44
139,1616,1588,1,28
140,1648,1588,3,60
141,1648,1588,3,60
